Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,Total,Crimes contra as pessoas,Crimes de homicídio voluntário consumado,Crimes contra o património,Crimes contra a identidade cultural e integridade pessoal,Crimes contra a vida em sociedade,Crimes contra o Estado,Crimes contra animais de companhia,Crimes previstos em legislação avulsa
11A0113: Oliveira de Azeméis,1640.00,443.00,x x,854.00,x x,199.00,27.00,- -,117.00
11A1310: Paredes,2563.00,613.00,x x,1432.00,x x,268.00,28.00,- -,222.00
11A1312: Porto,15987.00,3360.00,x x,8764.00,x x,2228.00,213.00,- -,1422.00
11A1313: Póvoa de Varzim,1681.00,473.00,x x,1018.00,x x,134.00,11.00,- -,45.00
11A0109: Santa Maria da Feira,4365.00,1216.00,x x,2369.00,x x,503.00,44.00,- -,233.00
11A1314: Santo Tirso,1772.00,501.00,x x,784.00,x x,349.00,27.00,- -,111.00
11A0116: São João da Madeira,1096.00,283.00,x x,399.00,x x,264.00,30.00,- -,120.00
11A1318: Trofa,998.00,302.00,x x,510.00,x x,92.00,9.00,- -,85.00
11A0119: Vale de Cambra,432.00,161.00,x x,212.00,x x,40.00,4.00,- -,15.00
11A1315: Valongo,2558.00,755.00,x x,1523.00,x x,147.00,9.00,- -,124.00
11A1316: Vila do Conde,2453.00,602.00,x x,1336.00,x x,231.00,39.00,- -,245.00
11A1317: Vila Nova de Gaia,10285.00,2636.00,x x,5864.00,x x,742.00,127.00,- -,916.00
11B: Alto Tâmega,3488.00,897.00,x x,1476.00,x x,893.00,25.00,- -,197.00
11B1702: Boticas,162.00,42.00,x x,63.00,x x,46.00,? ?,- -,? ?
11B1703: Chaves,1332.00,380.00,x x,641.00,x x,206.00,7.00,- -,98.00
11B1706: Montalegre,479.00,95.00,x x,125.00,x x,221.00,4.00,- -,34.00
11B1709: Ribeira de Pena,293.00,68.00,x x,114.00,x x,90.00,4.00,- -,17.00
11B1712: Valpa�os,745.00,193.00,x x,287.00,x x,237.00,4.00,- -,24.00
11B1713: Vila Pouca de Aguiar,477.00,119.00,x x,246.00,x x,93.00,? ?,- -,? ?
